Departamento,Dep,Municipio,Depmun,Superficie,Poblacion,Irural,Region,Tipo,Zona,denspobl
Norte De Santander,54,Abrego,54003,1382.44975629,33003,52,Región Centro Oriente,Otro,Rural,23.872838669065434
Norte De Santander,54,Arboledas,54051,456.14898855,9860,53,Región Centro Oriente,Otro,Rural,21.615744520979494
Norte De Santander,54,Bochalema,54099,170.26704427,8529,48,Región Centro Oriente,Otro,Rural,50.091901439688975
Norte De Santander,54,Bucarasica,54109,270.79085907,6472,55,Región Centro Oriente,Otro,Rural,23.9003636320197
Norte De Santander,54,Cácota,54125,138.92219018,2855,53,Región Centro Oriente,Otro,Rural,20.55107248381851
Norte De Santander,54,Cachirá,54128,615.81990466,11096,54,Región Centro Oriente,Otro,Rural,18.01825487619827
Norte De Santander,54,Chinácota,54172,166.25413881,18176,42,Región Centro Oriente,Otro,Rural,109.32660161183749
Norte De Santander,54,Chitagá,54174,1185.17804104,12042,59,Región Centro Oriente,Otro,Rural,10.16049874619098
Norte De Santander,54,Convención,54206,931.92135593,19131,55,Región Centro Oriente,Otro,Rural,20.528556275983657
Norte De Santander,54,Cucutilla,54223,374.91054548,8307,52,Región Centro Oriente,Otro,Rural,22.157285518241434
Norte De Santander,54,Durania,54239,175.0128162,4693,52,Región Centro Oriente,Otro,Rural,26.815179036013934
Norte De Santander,54,El Carmen,54245,1727.74295841,13648,60,Región Centro Oriente,Otro,Rural,7.899323179739609
Norte De Santander,54,El Tarra,54250,704.10028661,21145,57,Región Centro Oriente,Otro,Rural,30.03123333723649
Norte De Santander,54,El Zulia,54261,505.30409734,28240,48,Región Centro Oriente,Otro,Rural,55.887138356209235
Norte De Santander,54,Gramalote,54313,149.0239078,7524,48,Región Centro Oriente,Otro,Rural,50.48854315441593
Norte De Santander,54,Hacarí,54344,419.00493416,10342,53,Región Centro Oriente,Otro,Rural,24.68228690607933
Norte De Santander,54,Herrán,54347,106.95802481,7087,48,Región Centro Oriente,Otro,Rural,66.25963795226521
Norte De Santander,54,Labateca,54377,256.03978606,6443,52,Región Centro Oriente,Otro,Rural,25.16405789563563
Norte De Santander,54,La Esperanza,54385,669.89943971,11941,54,Región Centro Oriente,Otro,Rural,17.825063423204636
Norte De Santander,54,La Playa,54398,242.21466725,7821,50,Región Centro Oriente,Otro,Rural,32.28953922896674
Norte De Santander,54,Los Patios,54405,127.58813309,93754,28,Región Centro Oriente,Otro,Urbano,734.8175549670158
Norte De Santander,54,Lourdes,54418,86.58733641,4091,48,Región Centro Oriente,Otro,Rural,47.247093739304916
Norte De Santander,54,Mutiscua,54480,158.80967491,4373,51,Región Centro Oriente,Otro,Rural,27.536105734604956
Norte De Santander,54,Ocaña,54498,522.5999579,124603,36,Región Centro Oriente,Otro,Urbano,238.4290280096863
Norte De Santander,54,Pamplona,54518,298.29409051,52240,36,Región Centro Oriente,Otro,Urbano,175.1291817772324
Norte De Santander,54,Pamplonita,54520,170.93089437,5628,50,Región Centro Oriente,Otro,Rural,32.92558680362096
Norte De Santander,54,Puerto Santander,54553,44.94540103,8938,37,Región Centro Oriente,Otro,Urbano,198.86350539033114
Norte De Santander,54,Ragonvalia,54599,97.72577789,6149,44,Región Centro Oriente,Otro,Rural,62.920962439626784
Norte De Santander,54,Salazar,54660,493.91008949,10501,54,Región Centro Oriente,Otro,Rural,21.260954622010427
Norte De Santander,54,San Calixto,54670,398.02195262,12127,51,Región Centro Oriente,Otro,Rural,30.468168703191868
Norte De Santander,54,San Cayetano,54673,139.2816488,7442,49,Región Centro Oriente,Otro,Rural,53.431303148100014
Norte De Santander,54,Santiago,54680,172.53818835,3537,56,Región Centro Oriente,Otro,Rural,20.499809542598573
Norte De Santander,54,Sardinata,54720,1467.70683028,26100,56,Región Centro Oriente,Otro,Rural,17.782842909452704
Norte De Santander,54,Silos,54743,316.85540767,6380,54,Región Centro Oriente,Otro,Rural,20.13536725446918
Norte De Santander,54,Teorama,54800,927.05395631,17040,55,Región Centro Oriente,Otro,Rural,18.380807162320064
Norte De Santander,54,Tibú,54810,2680.07291457,56510,58,Región Centro Oriente,Otro,Rural,21.08524723069583
Norte De Santander,54,Toledo,54820,1480.66502911,15937,58,Región Centro Oriente,Otro,Rural,10.763406771063833
Norte De Santander,54,Villa Caro,54871,401.05845167,5172,57,Región Centro Oriente,Otro,Rural,12.895875846684909
Norte De Santander,54,Villa Del Rosario,54874,90.61902907,107288,25,Región Centro Oriente,Otro,Urbano,1183.94559179313
Quindío,63,Armenia,63001,121.61741615,300194,13,Región Eje Cafetero,Capital,Urbano,2468.3471290801635
Quindío,63,Buenavista,63111,38.45809947,3107,39,Región Eje Cafetero,Otro,Urbano,80.78922366987159
Quindío,63,Calarcá,63130,220.83628992,73872,28,Región Eje Cafetero,Otro,Urbano,334.5102384520262
Quindío,63,Circasia,63190,90.32288746,28631,29,Región Eje Cafetero,Otro,Urbano,316.9849946690356
Quindío,63,Córdoba,63212,92.97624817,5687,42,Región Eje Cafetero,Otro,Rural,61.166159228126226
Quindío,63,Filandia,63272,106.56200975,12154,35,Región Eje Cafetero,Otro,Urbano,114.05565668772496
Quindío,63,Génova,63302,294.93771857,7455,46,Región Eje Cafetero,Otro,Rural,25.27652290844802
Quindío,63,La Tebaida,63401,89.37974557,34172,27,Región Eje Cafetero,Otro,Urbano,382.3237555899881
Quindío,63,Montenegro,63470,149.05751226,37127,30,Región Eje Cafetero,Otro,Urbano,249.07835530784672
Quindío,63,Pijao,63548,248.58261671,5146,48,Región Eje Cafetero,Otro,Rural,20.701367087157976
Quindío,63,Quimbaya,63594,133.52035396,30911,30,Región Eje Cafetero,Otro,Urbano,231.50777453196622
Quindío,63,Salento,63690,347.31994862,9399,49,Región Eje Cafetero,Otro,Rural,27.061503485028357
Risaralda,66,Pereira,66001,608.16599064,472406,21,Región Eje Cafetero,Capital,Urbano,776.7714855328662
Risaralda,66,Apía,66045,149.98051137,12276,37,Región Eje Cafetero,Otro,Urbano,81.85063437819109
Risaralda,66,Balboa,66075,119.48598487,6348,43,Región Eje Cafetero,Otro,Rural,53.12756978909773
Risaralda,66,Belén De Umbría,66088,180.60043873,24660,34,Región Eje Cafetero,Otro,Urbano,136.54451879193394
Risaralda,66,Dosquebradas,66170,70.12886684,220771,12,Región Eje Cafetero,Otro,Urbano,3148.075962836989
Risaralda,66,Guática,66318,100.82063905,12108,34,Región Eje Cafetero,Otro,Urbano,120.09445798092271
Risaralda,66,La Celia,66383,92.47366148,7448,39,Región Eje Cafetero,Otro,Urbano,80.54185246694094
Risaralda,66,La Virginia,66400,32.80121313,27916,20,Región Eje Cafetero,Otro,Urbano,851.0660837256661
Risaralda,66,Marsella,66440,149.31913742,16782,34,Región Eje Cafetero,Otro,Urbano,112.39014830896147
